FUNIT: Hz
UNIT: dB
0.0 [-0.2, -1.0] [0.0, 0.0] [0.2, +1.0]
1.065132e+10 [-2.73, 40.18] [-2.53, 41.18] [-2.33, 42.18]
1.105808e+10 [-2.83, 159.25] [-2.63, 160.25] [-2.43, 161.25]
1.148038e+10 [-2.85, -118.07] [-2.65, -117.07] [-2.45, -116.07]
1.191880e+10 [-3.01, -74.84] [-2.81, -73.84] [-2.61, -72.84]
1.237396e+10 [-3.20, -67.08] [-3.00, -66.08] [-2.80, -65.08]
1.284651e+10 [-3.19, -103.84] [-2.99, -102.84] [-2.79, -101.84]
1.333711e+10 [-3.12, 178.85] [-2.92, 179.85] [-2.72, 180.85]
1.384643e+10 [-3.27, 55.28] [-3.07, 56.28] [-2.87, 57.28]
1.437521e+10 [-3.13, -114.45] [-2.93, -113.45] [-2.73, -112.45]
1.492419e+10 [-3.21, 28.40] [-3.01, 29.40] [-2.81, 30.40]
1.549412e+10 [-3.29, 121.42] [-3.09, 122.42] [-2.89, 123.42]
1.608583e+10 [-3.40, 162.93] [-3.20, 163.93] [-3.00, 164.93]
1.670013e+10 [-3.41, 152.25] [-3.21, 153.25] [-3.01, 154.25]
1.733789e+10 [-3.44, 84.22] [-3.24, 85.22] [-3.04, 86.22]
1.800000e+10 [-3.66, -40.70] [-3.46, -39.70] [-3.26, -38.70]
